Protein.IDs2	tr_1	tr_2	tr_3	control_1	control_2	control_3	Protein.IDs	Desc	Organism	imput_c	imput_t		xantho	control	pval	qval	logFC	log10pvalue	DEP	reg
A0A077RPD6	24.55906	24.99157	24.98255	24.76045	24.61127	24.67401	A0A077RPD6;A0A077RRW5;W5DI81;W5CNJ4;W5CLW6;W5DFA2	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		24.84439333	24.68191	0.37431067	0.451670718	0.162483333	0.345178064	0	0
A0A077RPF9	28.38878	28.01287	27.71679	27.89371	28.34338	26.8797	A0A077RPF9	Peroxidase	Triticum aestivum	0	0		28.03948	27.70559667	0.5361074	0.507880617	0.333883333	0.294238362	0	0
A0A077RPL6	27.21947	27.42575	27.24554	27.00624	27.30939	27.33952	A0A077RPL6;W5CP45;W5EQE9;W5DPH0;W5DHF3;W5E9C2;W5E9Z6	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		27.29692	27.21838333	0.569486481	0.522918483	0.078536667	0.281566007	0	0
A0A077RPZ7	28.00924	28.11207	27.87449	27.92903	28.30304	28.39595	A0A077RPZ7;W5CK42;W5DIS3;W5DW14;W5A576;W4ZSP6	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		27.9986	28.20934	0.278885998	0.404810527	-0.21074	0.392748202	0	0
A0A077RQ33	25.12802	23.95855	24.7494	24.00744	24.27306	24.82813	A0A077RQ33;W5DFE2;W5CIU4	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		24.61199	24.36954333	0.598796246	0.53184087	0.242446667	0.274218292	0	0
A0A077RQA1	26.62073	26.74021	26.68137	26.62268	26.75341	26.74034	A0A077RQA1;W5DK78;W5CIY2	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		26.68077	26.70547667	0.671894416	0.557395505	-0.024706667	0.253836538	0	0
A0A077RQX7	29.61043	29.8029	29.78293	29.63896	29.78687	29.33003	A0A077RQX7;W5E5D4;W5EKF7;W5HVP2;W5CKA3;W5HV70;W5GHS3;W5HFU4;W5HCH3;W5I5V6;W5BTN3;W5I8Y1;W5HHG9;W5HV83;W5E2N0;W5BYL7;W5AYU3;W5BAG0;W5BH45;W5EIA7;W5DXB2;W5E7L0;W5C9C1;W5BLA1;A0A077S433;W5C6K4;W5B4G3	Peroxidase	Triticum aestivum	0	0		29.73208667	29.58528667	0.398740194	0.463958465	0.1468	0.333520897	0	0
A0A077RR09	26.97815	26.93292	26.83171	27.31277	27.36386	27.4663	A0A077RR09	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		26.91426	27.38097667	0.00173525	0.053152348	-0.466716667	1.274477545	0	0
A0A077RR28	28.36072	28.42626	28.33552	28.33548	28.19493	28.35283	A0A077RR28;W5D9P8	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.37416667	28.29441333	0.252987569	0.39097106	0.079753333	0.407855389	0	0
A0A077RR46	28.21623	28.72874	28.58319	27.96207	27.97907	28.06337	A0A077RR46;W5CKN3;W5BL90;W5DG97;W5CKY0	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.50938667	28.00150333	0.074000069	0.268956337	0.507883333	0.570318219	0	0
A0A077RR82	28.00956	28.06435	28.12322	27.79761	27.35658	27.71365	A0A077RR82;W5CK57	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.06571	27.62261333	0.074420165	0.269402495	0.443096667	0.569598387	0	0
A0A077RRC4	28.70464	29.17188	29.05995	28.6052	28.68856	29.12652	A0A077RRC4;A0A096UM80	Peroxidase	Triticum aestivum	0	0		28.97882333	28.80676	0.468059255	0.483295618	0.172063333	0.315787143	0	0
W5CKK7	26.9419	27.23178	27.13604	27.39018	27.5297	27.51961	W5CKK7;A0A077RRF3	Uncharacterized protein	Triticum aestivum	0	0		27.10324	27.47983	0.029233527	0.204947631	-0.37659	0.688357098	0	0
A0A077RRZ5	28.44762	28.48945	28.37522	28.08527	28.24173	28.08355	A0A077RRZ5;W5CMK6	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.43743	28.13685	0.012640003	0.151303319	0.30058	0.820151546	0	0
A0A077RSI3	32.75994	32.97905	32.85092	32.80005	32.48496	32.9267	A0A077RSI3	Triosephosphate isomerase	Triticum aestivum	0	0		32.86330333	32.73723667	0.453341827	0.47804339	0.126066667	0.320532683	0	0
A0A077RSL3	26.56729	26.92196	26.96895	26.68151	26.96389	27.06332	A0A077RSL3	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		26.8194	26.90290667	0.650640649	0.552030992	-0.083506667	0.25803654	0	0
A0A077RSP3	25.84608	25.76767	25.89613	25.66993	25.4374	26.09511	A0A077RSP3;W5CBW8;W5DBS3;W5CCK7	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		25.83662667	25.73414667	0.65022988	0.552030992	0.10248	0.25803654	0	0
A0A0H2UJ20	27.55604	27.67983	27.68906	27.2691	27.50809	27.3232	A0A0H2UJ20;A0A077RSQ1;W5CMB2;W5DGG7	Uncharacterized protein	Triticum aestivum	0	0		27.64164333	27.36679667	0.041735452	0.237416416	0.274846667	0.624489255	0	0
A0A077RST2	28.467	28.58474	28.4956	28.20228	28.56511	28.49389	A0A077RST2;W5CCM5;W5F6I7;W5DCW8;W5DBT2;W5D5T6;W5CID4	Carbonic anhydrase	Triticum aestivum	0	0		28.51578	28.42042667	0.486346296	0.489618184	0.095353333	0.310142462	0	0
A0A077RSY3	29.38045	29.01209	28.95748	28.49819	28.78316	28.1419	A0A077RSY3;W5CKU7;W5DI74;W5DGX3;W5C309;W5BKJ7	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		29.11667333	28.47441667	0.0538531	0.252169057	0.642256667	0.598308206	0	0
A0A077RT58	29.00188	28.25341	27.98999	28.75471	28.66044	28.72465	A0A077RT58;W5EB41	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.41509333	28.71326667	0.42908704	0.466839914	-0.298173333	0.33083202	0	0
A0A077RT78	26.69285	27.10739	26.60385	26.22971	26.89122	26.75964	A0A077RT78;W5DGV4;W5DIF7;W5DGP3	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		26.80136333	26.62685667	0.5334779	0.507635292	0.174506667	0.294448192	0	0
A0A077RT85	25.44468	25.96523	26.01206	25.76777	25.42538	26.09714	A0A077RT85;W5CHW2;W5D9F0;W5DHA1;A0A077RVU2;W5H1B2;W5G7N0;W5CNL8;W5EWR3;W5GKN5;W5GU89;W5GN57;W5G5L1;A0A077S0Y0;W5G613;W5FAI5;W5FUB1	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		25.80732333	25.76343	0.876895339	0.628229366	0.043893333	0.201881767	0	0
W5I5G5	30.39948	30.65403	30.6294	30.32689	30.77415	30.54287	W5I5G5;A0A077RTE5;W5DMS9;W5CKC3;W5DIZ6;W5DGX9;W5DK47;W5GJS7;W5DK57	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		30.56097	30.54797	0.936878148	0.639815958	0.013	0.193944932	0	0
A0A077RTG8	30.4827	30.35689	30.51766	30.20443	30.30236	30.22009	A0A077RTG8	Malate dehydrogenase	Triticum aestivum	0	0		30.45241667	30.24229333	0.029444125	0.204947631	0.210123333	0.688357098	0	0
A0A077RTW4	26.03355	25.22703	25.47516	25.179	26.00847	25.60238	A0A077RTW4;W5DDB7;W5CD40	Serine/threonine-protein phosphatase	Triticum aestivum	0	0		25.57858	25.59661667	0.959997987	0.644859888	-0.018036667	0.190534637	0	0
A0A077RTY9	27.36018	27.41248	27.4231	27.22839	27.54466	27.44229	A0A077RTY9;A0A096UP10;W5CN71;W5DGE1	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		27.39858667	27.40511333	0.951122562	0.641882106	-0.006526667	0.192544731	0	0
A0A077RU01	27.28127	27.31155	27.30783	26.75264	27.45568	27.02739	A0A077RU01;W5DF75	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		27.30021667	27.07857	0.39180981	0.462508497	0.221646667	0.334880284	0	0
A0A077RU30	28.69939	29.07577	29.03952	28.97093	29.5479	28.83102	A0A077RU30;W5ERB8;P93598;W5ENZ9;A0A077S1V6;W5ERP1;W5ERR3;W5EQH1;W5EPW5;W5EDU8;W5DQ90;W5DPG0;Q70PK0;P93600;P26759;C3UZE9;W5EBP2;W5DST5;P93601;P93599;W5EQQ5;W5DRE8;W5DUU8;C3UZE7;W5EAC6;P15290;W5ESI3;C3UZE8;C3UZE6;W5ETT8	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.93822667	29.11661667	0.52553461	0.506296075	-0.17839	0.29559544	0	0
A0A077RU32	28.54241	28.61957	28.48796	28.47537	28.13995	28.64911	A0A077RU32;W5DIU2;W5DJR6	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.54998	28.42147667	0.48353807	0.48889996	0.128503333	0.310779998	0	0
A0A077RU45	28.23137	28.37513	28.35304	28.33014	28.26477	28.40844	A0A077RU45	Ubiquitin carboxyl-terminal hydrolase	Triticum aestivum	0	0		28.31984667	28.33445	0.822656213	0.611163291	-0.014603333	0.213842739	0	0
D8L9G1	25.41922	25.55189	25.38643	25.11164	25.2113	25.61369	D8L9G1;A0A077RU59	"Trehalose synthase, putative, expressed (Fragment)... "	Triticum aestivum	0	0		25.45251333	25.31221	0.462446732	0.482482039	0.140303333	0.316518849	0	0
W5DFX0	24.54787	24.61678	24.64471	25.08359	25.87375	25.11787	W5DFX0;A0A077RU76;W5DY26;W5CJC3;W5CJD1	Uncharacterized protein	Triticum aestivum	0	0		24.60312	25.35840333	0.097693487	0.284663229	-0.755283333	0.545668629	0	0
A0A077RU96	27.7166	27.46279	27.21271	27.06106	27.13565	27.18698	A0A077RU96;W5HDU1;W5HWS2	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		27.46403333	27.12789667	0.139988826	0.31665406	0.336136667	0.499414939	0	0
Q6YLX9	23.70736	23.58463	23.38706	23.8348	23.73242	24.20754	Q6YLX9;A0A077RUK6;W5DCD8	Two pore calcium channel protein 1	Triticum aestivum	0	0		23.55968333	23.92492	0.112398048	0.295562665	-0.365236667	0.529350426	0	0
A0A077RUU2	30.72021	31.84049	31.73916	31.1939	31.27714	31.64401	A0A077RUU2;W5CKG2;W5CLC6;W5CIK8;W5CKG5	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		31.43328667	31.37168333	0.884102712	0.629197386	0.061603333	0.20121309	0	0
A0A077RV05	28.85326	28.92068	28.73638	28.91174	29.02852	29.10674	A0A077RV05;W5CG32	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.83677333	29.01566667	0.084132028	0.276036753	-0.178893333	0.559033089	0	0
A0A077RVB3	29.3203	28.24622	28.36695	28.93199	29.13824	28.70061	A0A077RVB3;W5CGV4;W5DC94;W5CD69;A0A077RZ06;W5GEE1;W5GDZ1;W5GEB8	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.64449	28.92361333	0.506376342	0.496243264	-0.279123333	0.304305375	0	0
A0A077RVD7	28.39346	28.53282	28.22209	28.41369	29.11892	28.95082	A0A077RVD7;A0A096UQ48	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.38279	28.82781	0.159952028	0.331857164	-0.44502	0.479048802	0	0
A0A077RVF4	27.83527	27.76737	27.64726	27.25178	27.4999	27.02697	A0A077RVF4	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		27.74996667	27.25955	0.054097049	0.252169057	0.490416667	0.598308206	0	0
A0A077RVJ6	27.42686	28.35325	28.22458	27.67364	27.98185	27.89371	A0A077RVJ6;W5BNS3	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.00156333	27.84973333	0.659518236	0.554244264	0.15183	0.256298793	0	0
A0A077RVM7	27.23699	27.44261	27.31025	27.10129	27.77649	27.44821	A0A077RVM7;W5DK74;W5CLU4;W5CKD3	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		27.32995	27.44199667	0.630129049	0.545080626	-0.112046667	0.263539254	0	0
A0A077RVN7	28.32556	28.77046	28.77367	28.23986	28.33411	28.06209	A0A077RVN7;W5CKS4	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.62323	28.21202	0.091189119	0.284294276	0.41121	0.546231885	0	0
A0A077RVS4	28.46836	29.23002	29.16161	28.98387	28.72991	28.67627	A0A077RVS4;W5B894	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.95333	28.79668333	0.596877828	0.531322067	0.156646667	0.274642146	0	0
A0A077RVZ8	24.91984	25.20445	25.11799	24.93715	25.117	24.83186	A0A077RVZ8;W5F3P5;W5AIF7;W5AIP9;W5BUH7;W5G6I4;W5GXT7;W4ZQ37;W4ZME2;W5B7C3;W5G2X3;W5FPB7;W5AUF9;W5BMF4	Pectinesterase	Triticum aestivum	0	0		25.08076	24.96200333	0.372739858	0.451512717	0.118756667	0.345330013	0	0
A0A077RW30	29.74113	30.047	30.0041	29.90799	30.1262	29.93789	A0A077RW30;W5CM54;A0A077RQ49;W5DK22;W5DK92	Cysteine synthase	Triticum aestivum	0	0		29.93074333	29.99069333	0.639428885	0.548871077	-0.05995	0.260529654	0	0
G8E2S8	26.1974	27.9359	28.00774	25.02085	27.18461	25.19223	G8E2S8;W5FV77;A0A077RWB9;W5CGC6;W5FDV8;W5EJY9;W5EP43	40S ribosomal protein S23	Triticum aestivum	0	0		27.38034667	25.79923	0.159951688	0.331857164	1.581116667	0.479048802	0	0
A0A077RWC2	26.97147	26.99615	27.18584	26.74817	26.98891	26.91604	A0A077RWC2;A0A077RWF2	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		27.05115333	26.88437333	0.165246528	0.336605886	0.16678	0.472878294	0	0
A2SXR9	26.60272	26.5206	26.42937	26.93764	27.00806	26.4548	A2SXR9;A0A077RWG8;W5D9T1	Uricase	Triticum aestivum	0	0		26.51756333	26.80016667	0.241240064	0.383227368	-0.282603333	0.416543483	0	0
A0A077RWL8	26.14394	24.70862	24.84566	25.80818	26.43822	24.54032	A0A077RWL8;A0A0H2UIQ2;W5CLG4;W5CJF9;W5DFP5;W5DFJ0;W5CNX3;W5DFW7;W5G1X0;W5HK42;W5HC63;W5I1D7	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		25.23274	25.59557333	0.642448308	0.54892303	-0.362833333	0.260488548	0	0
A0A077RWS5	27.20927	25.78142	26.62129	26.45612	26.0679	26.01103	A0A077RWS5;W5DH17	S-adenosylmethionine synthase	Triticum aestivum	0	0		26.53732667	26.17835	0.483899401	0.48889996	0.358976667	0.310779998	0	0
W5FMB1	25.14643	25.45839	25.19551	24.80607	24.77284	25.12644	W5FMB1;A0A077RX53;W5G4Q9	Uncharacterized protein	Triticum aestivum	0	0		25.26677667	24.90178333	0.071440842	0.266699075	0.364993333	0.573978491	0	0
A0A077RX76	25.96706	25.92771	26.09838	26.1191	26.0789	26.03551	A0A077RX76	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		25.99771667	26.07783667	0.259203162	0.394748873	-0.08012	0.403679101	0	0
A0A077RXH0	29.39223	29.28683	29.00397	28.54812	29.16257	27.8977	A0A077RXH0;A0A096UMA1;W5BUM7;A0A0C4BIU7;A0A0C4B989;W4ZUZ4;W5DE00	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		29.22767667	28.53613	0.191386676	0.347147068	0.691546667	0.459486499	0	0
A0A077RXR6	30.02894	30.03013	29.96705	30.07966	30.0874	30.106	A0A077RXR6;W5CGT8;W5DC78;W5CI46;Q6YKA9	Obg-like ATPase 1	Triticum aestivum	0	0		30.00870667	30.09102	0.044847429	0.244634871	-0.082313333	0.611481637	0	0
A0A077RXS4	30.15013	30.16123	30.1045	30.03394	30.10024	30.10212	A0A077RXS4;W5D7Y0;W5CAJ0;Q7XYE1;W5G9G7;W5GIG7;W5CE57;W5CGK5	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		30.13862	30.07876667	0.106718462	0.288431184	0.059853333	0.539957787	0	0
A0A077RXT9	25.97152	26.05672	25.95445	25.99886	26.24516	25.97989	A0A077RXT9	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		25.99423	26.07463667	0.453018189	0.47804339	-0.080406667	0.320532683	0	0
A0A077RXY9	27.14054	27.22757	27.32612	26.6126	27.38311	26.66709	A0A077RXY9	Carboxypeptidase	Triticum aestivum	0	0		27.23141	26.8876	0.298773572	0.415088159	0.34381	0.381859655	0	0
A0A0H2UJ37	26.17318	26.21974	26.52031	25.78224	26.62868	26.44487	A0A0H2UJ37;A0A077RY57;A0A0C4B292;W5DI33;W5CME3;W5CKH4;W5CKT4;W5CIV1;W5CKZ8;W5CLS8;A0A0C4B291;W5CK78	Uncharacterized protein	Triticum aestivum	0	0		26.30441	26.28526333	0.950078379	0.641882106	0.019146667	0.192544731	0	0
A0A077RY78	31.89262	31.58208	31.53436	32.22966	32.06667	32.02861	A0A077RY78	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		31.66968667	32.10831333	0.039594879	0.231864239	-0.438626667	0.634766229	0	0
A0A077RY89	26.92976	26.66234	26.66899	26.68565	26.94648	26.72507	A0A077RY89;W5DEK1;W5CD31;W5CG41;W5DAL5	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		26.75369667	26.78573333	0.802389411	0.606932558	-0.032036667	0.216859565	0	0
A0A077RYD0	26.42307	26.54236	26.49887	26.10567	25.86531	26.53885	A0A077RYD0;J7F4X6	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		26.4881	26.16994333	0.245622024	0.385669922	0.318156667	0.413784231	0	0
A0A077RYD6	26.14802	25.71337	25.80796	25.79072	25.9612	26.17448	A0A077RYD6;W5DK12;W5DK07	Eukaryotic translation initiation factor 3 subunit... 	Triticum aestivum	0	0		25.88978333	25.97546667	0.646088052	0.550181185	-0.085683333	0.259494265	0	0
A0A077RYE2	28.05812	28.06039	28.19216	27.74368	28.023	28.16811	A0A077RYE2;W5E8I2	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.10355667	27.97826333	0.425627611	0.465372519	0.125293333	0.332199266	0	0
A0A077RYE6	26.14771	26.74047	26.69737	26.49727	26.73156	26.72143	A0A077RYE6	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		26.52851667	26.65008667	0.601242309	0.532429987	-0.12157	0.273737493	0	0
W5DI03	25.12912	25.68672	24.83181	24.77485	25.13895	24.34949	W5DI03;A0A077RYK9	Uncharacterized protein	Triticum aestivum	0	0		25.21588333	24.75443	0.245505536	0.385669922	0.461453333	0.413784231	0	0
W5B954	34.33558	35.19432	35.01484	33.90329	35.02238	34.21899	W5B954;W5APN0;W5BPM3;W5BDU9;A0A096UWG0;W5B8I7;W5AWL4;P62786;P62785;A0A077RYQ1;W5BTP2;W4ZVZ3;W4ZQV5;W5FR63;W5FBB1;A0A096USG9;A0A096UJU8;W5APM8;W5GYP0;W5GDX3;W5BAK4;W5EVI4;W5BT37;W5CKF2;W5BMC6;W5GRU1;W5EKU2;W5HCT6;W5EIG6;W5FGC8;W5A2E0;W5H976;W5BUS8;W4ZR88;A0A096UTZ8;W5AEA6;W4ZRB7;W4ZU32;A0A096UN19;W5GCI6;W5FWV0;W5A4T6;W5GCL4;W4ZTP9;W5FTL0;W5HH92;W5GKE7;W5BL01;W5HBM0	Histone H4	Triticum aestivum	0	0		34.84824667	34.38155333	0.335542177	0.435086882	0.466693333	0.361424011	0	0
A0A077RYW2	25.54079	25.44588	25.76577	25.76347	25.90042	25.55292	A0A077RYW2;W5DEJ0;W5CAF4	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		25.58414667	25.73893667	0.326872141	0.431662697	-0.15479	0.36485548	0	0
A0A077RYX7	29.79712	29.79685	29.98956	29.53929	29.31437	29.67699	A0A077RYX7;W5CCB8;W5AIE4;W5HWI9;W5I6J8;W5HFC5	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		29.86117667	29.51021667	0.058812602	0.252179455	0.35096	0.598290298	0	0
A0A077RZ13	24.68939	23.6888	23.92696	21.40253912	21.63312592	21.6281096	A0A077RZ13;W5DKW7;W5CNS3	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	2	0		24.10171667	21.55459154	0.010155974	0.144991872	2.547125122	0.838656343	0	1
W5DE02	27.04103	27.32877	27.33185	27.03926	27.51578	27.26123	W5DE02;A0A077RZ37	Uncharacterized protein	Triticum aestivum	0	0		27.23388333	27.27209	0.832555745	0.613945814	-0.038206667	0.211869957	0	0
A0A077RZB4	29.7808	29.95975	29.65022	29.23329	29.97158	29.89735	A0A077RZB4	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		29.79692333	29.70074	0.731267084	0.579294769	0.096183333	0.237100393	0	0
A0A077RZI5	28.49842	28.51345	28.48208	28.43297	28.53237	28.57561	A0A077RZI5;W5CME6;W5DFU0	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		28.49798333	28.51365	0.74892317	0.585142398	-0.015666667	0.232738433	0	0
A0A077RZK4	24.19393	23.70123	24.34449	24.30577	23.86844	23.97307	A0A077RZK4;W5CJF7;W5DKA5;W5DI47	DNA topoisomerase 2	Triticum aestivum	0	0		24.07988333	24.04909333	0.902803116	0.631437116	0.03079	0.199669894	0	0
A0A077RZP0	26.76205	26.40336	26.57333	25.94704	26.43232	26.11995	A0A077RZP0;W5CAT9	"Chromosome 3B, genomic scaffold, cultivar Chinese ... "	Triticum aestivum	0	0		26.57958	26.16643667	0.084563148	0.276036753	0.413143333	0.559033089	0	0
